iter	Passed	Remaining
219	308	1092
220	308	1088
221	309	1084
222	309	1079
223	310	1075
224	311	1071
225	311	1067
226	314	1070
227	315	1067
228	315	1063
229	316	1059
230	317	1055
231	317	1051
232	318	1048
233	318	1044
234	319	1040
235	320	1036
236	320	1032
237	321	1028
238	321	1024
239	322	1020
240	322	1016
241	323	1013
242	323	1009
243	324	1005
244	325	1001
245	325	997
246	326	994
247	326	990
248	329	994
249	330	991
250	330	987
251	331	983
252	332	980
253	332	976
254	333	973
255	333	969
256	334	966
257	334	963
258	335	959
259	336	957
260	336	953
261	337	950
262	338	947
263	338	943
264	339	940
265	339	937
266	340	933
267	340	930
268	341	927
269	341	923
270	345	928
271	345	925
272	346	922
273	347	919
274	347	916
275	348	913
276	348	910
277	349	907
278	349	904
279	350	901
280	351	898
281	351	895
282	352	892
283	352	888
284	353	885
285	353	883
286	354	880
287	354	877
288	355	874
289	355	871
290	356	868
291	356	865
292	359	866
293	360	864
294	360	862
295	361	859
296	362	857
297	363	855
298	363	852
299	364	849
300	364	847
301	365	844
302	366	842
303	367	840
304	367	838
305	368	835
306	369	833
307	369	831
308	370	828
309	371	826
310	375	832
311	376	830
312	377	827
313	377	825
314	378	822
315	378	820
316	379	817
317	379	814
318	380	812
319	380	809
320	381	806
321	382	804
322	382	801
323	383	799
324	383	796
325	384	794
326	384	791
327	385	789
328	385	786
329	386	784
330	387	784
331	389	783
332	390	781
333	390	779
334	391	776
335	391	774
336	392	772
337	393	769
338	393	767
339	394	765
340	394	762
341	395	760
342	395	757
343	396	755
344	396	753
345	397	750
346	397	748
347	398	745
348	398	743
349	399	741
350	399	738
351	400	736
352	400	734
353	401	732
354	402	732
355	404	730
356	404	728
357	405	726
358	405	724
359	406	722
360	406	720
361	407	717
362	407	715
363	408	713
364	408	711
365	409	709
366	410	707
367	410	705
368	411	703
369	411	700
370	412	698
371	412	696
372	413	694
373	413	692
374	414	690
375	414	688
376	415	686
377	415	684
378	416	682
379	419	683
380	419	682
381	420	680
382	421	678
383	421	676
384	422	674
385	422	672
386	423	670
387	423	668
388	424	666
389	424	664
390	425	662
391	425	660
392	426	658
393	426	656
394	427	654
395	428	652
396	428	650
397	429	648
398	429	647
399	430	645
400	430	643
401	431	641
402	433	642
403	434	641
404	435	639
405	436	638
406	437	636
407	437	635
408	438	633
409	438	631
410	439	629
411	439	627
412	440	626
413	440	624
414	441	622
415	441	620
416	442	618
417	442	616
418	443	614
419	443	613
420	444	611
421	445	609
422	445	607
423	446	606
424	447	605
425	449	605
426	450	603
427	450	602
428	451	600
429	451	599
430	452	597
431	453	595
432	453	594
433	454	592
434	454	590
435	455	589
436	456	587
437	456	585
438	457	584
439	457	582
440	458	580
441	458	579
442	459	577
443	459	575
444	460	574
445	461	572
446	463	573
447	465	572
448	465	571
449	466	570
450	467	568
451	467	567
452	468	565
453	469	564
454	470	564
455	471	562
456	472	561
457	473	560
458	473	558
459	474	556
460	474	555
461	475	553
462	475	552
463	477	551
464	478	550
465	478	548
466	479	547
467	480	546
468	481	544
469	481	543
470	482	541
471	482	540
472	483	538
473	483	537
474	484	535
475	484	533
476	485	532
477	486	530
478	487	530
479	488	529
480	489	527
481	493	530
482	494	529
483	495	528
484	496	527
485	497	525
486	497	524
487	498	523
488	500	523
489	502	523
